# week, sectorid, diam_T, e1_T, e2_T, e3_T, e4_T, cc_T, diam, e1, e2, e3, e4, cc 
39.0000,6102.0000,17.0000,6.7315,6.7612,6.7349,6.6283,0.0000,8.0000,4.9463,5.5753,4.8560,5.2093,0.6325
40.0000,6102.0000,24.0000,6.5397,6.3582,6.4019,6.4660,0.0000,13.0000,4.8454,4.8902,4.9894,4.8966,0.6648
41.0000,6102.0000,19.0000,6.6489,6.6504,6.7122,6.7120,0.0000,11.0000,4.7257,4.9589,4.6238,4.7622,0.6636
42.0000,6102.0000,18.0000,6.5305,6.5387,6.4944,6.6038,0.0000,9.0000,4.3648,4.8230,4.6849,4.6218,0.6603
43.0000,6102.0000,15.0000,6.5632,6.5519,6.7743,6.5761,0.0000,8.0000,4.6182,4.4566,4.6672,4.8498,0.6727
44.0000,6102.0000,19.0000,6.6990,6.5992,6.4501,6.5947,0.0000,9.0000,4.4875,4.1645,4.2879,4.3595,0.6905
45.0000,6102.0000,15.0000,6.9157,6.6838,6.6928,6.9396,0.0000,8.0000,4.8094,4.9465,4.8568,4.8520,0.6460
46.0000,6102.0000,13.0000,6.7462,6.6631,6.8759,6.6028,0.0000,9.0000,5.1430,4.9742,4.6798,4.7442,0.6378
47.0000,6102.0000,16.0000,6.7526,6.7147,6.5988,6.5218,0.0000,9.0000,4.7737,4.7052,4.8422,4.7646,0.6396
48.0000,6102.0000,17.0000,6.4791,6.6590,6.6031,6.3606,0.0000,9.0000,4.8544,5.3220,4.9302,5.1540,0.6444
49.0000,6102.0000,15.0000,6.6657,6.5458,6.4425,6.5336,0.0000,8.0000,4.6915,4.6786,4.8106,4.8893,0.6456
50.0000,6102.0000,17.0000,6.5882,6.7544,6.5724,6.7088,0.0000,11.0000,4.8948,4.8964,4.9005,5.5848,0.6416
51.0000,6102.0000,19.0000,6.4060,6.7076,6.3269,6.3321,0.0000,11.0000,5.4612,5.6594,5.5963,5.3259,0.6382
52.0000,6102.0000,16.0000,6.4105,6.6438,6.2574,6.4573,0.0000,9.0000,4.8919,4.7508,4.6763,4.9912,0.6470
53.0000,6102.0000,16.0000,6.4537,6.4722,6.3378,6.5246,0.0000,9.0000,4.4557,4.8272,4.4424,4.8059,0.6368
54.0000,6102.0000,15.0000,6.8095,6.7050,6.8067,6.5954,0.0000,10.0000,5.2564,5.2080,5.0670,5.3806,0.6156
55.0000,6102.0000,16.0000,6.6107,6.5700,6.9816,6.6483,0.0000,9.0000,5.3676,4.8543,4.7529,4.6969,0.5781
56.0000,6102.0000,16.0000,6.8827,6.6491,6.6478,6.6887,0.0000,9.0000,4.9869,4.7872,5.0680,4.8811,0.5243
57.0000,6102.0000,19.0000,6.6780,6.6584,6.6856,7.3302,0.0000,10.0000,4.9974,5.4683,4.9244,4.9582,0.5847
58.0000,6102.0000,17.0000,6.7964,6.6672,6.8139,6.6550,0.0000,11.0000,5.2189,5.1453,5.1549,5.2070,0.6121
59.0000,6102.0000,16.0000,6.5721,6.8967,6.5763,6.5504,0.0000,8.0000,4.8884,4.6847,4.5809,5.2122,0.6380
